,STATE,month,counts
0,AK,2,1
1,AK,3,1
2,AK,4,7
3,AK,5,116
4,AK,6,285
5,AK,7,106
6,AK,8,57
7,AK,9,16
8,AK,10,2
9,AK,11,1
10,AL,1,91
11,AL,2,131
12,AL,3,667
13,AL,4,151
14,AL,5,97
15,AL,6,31
16,AL,7,13
17,AL,8,16
18,AL,9,74
19,AL,10,78
20,AL,11,247
21,AL,12,74
22,AR,1,21
23,AR,2,31
24,AR,3,225
25,AR,4,100
26,AR,5,18
27,AR,6,34
28,AR,7,118
29,AR,8,65
30,AR,9,183
31,AR,10,16
32,AR,11,23
33,AR,12,13
34,AZ,1,36
35,AZ,2,26
36,AZ,3,74
37,AZ,4,145
38,AZ,5,244
39,AZ,6,322
40,AZ,7,439
41,AZ,8,231
42,AZ,9,44
43,AZ,10,39
44,AZ,11,38
45,AZ,12,27
46,CA,1,167
47,CA,2,219
48,CA,3,366
49,CA,4,655
50,CA,5,1307
51,CA,6,1274
52,CA,7,1360
53,CA,8,1288
54,CA,9,671
55,CA,10,569
56,CA,11,551
57,CA,12,296
58,CO,1,215
59,CO,2,178
60,CO,3,379
61,CO,4,342
62,CO,5,440
63,CO,6,800
64,CO,7,685
65,CO,8,492
66,CO,9,223
67,CO,10,68
68,CO,11,60
69,CO,12,12
70,DC,11,1
71,DE,3,2
72,DE,4,3
73,DE,6,1
74,DE,7,1
75,DE,9,1
76,DE,12,1
77,FL,1,265
78,FL,2,267
79,FL,3,560
80,FL,4,220
81,FL,5,307
82,FL,6,134
83,FL,7,40
84,FL,8,49
85,FL,9,76
86,FL,10,71
87,FL,11,81
88,FL,12,93
89,GA,1,559
90,GA,2,363
91,GA,3,776
92,GA,4,309
93,GA,5,200
94,GA,6,107
95,GA,7,23
96,GA,8,35
97,GA,9,113
98,GA,10,269
99,GA,11,355
100,GA,12,143
101,HI,1,22
102,HI,2,19
103,HI,3,12
104,HI,7,1
105,HI,10,2
106,HI,11,2
107,HI,12,2
108,IA,1,18
109,IA,2,10
110,IA,3,22
111,IA,4,97
112,IA,5,19
113,IA,6,5
114,IA,7,13
115,IA,8,20
116,IA,9,15
117,IA,10,15
118,IA,11,9
119,ID,2,3
120,ID,3,8
121,ID,4,5
122,ID,5,80
123,ID,6,92
124,ID,7,358
125,ID,8,729
126,ID,9,253
127,ID,10,31
128,ID,11,7
129,IL,1,3
130,IL,2,2
131,IL,3,9
132,IL,4,16
133,IL,5,2
134,IL,6,1
135,IL,8,3
136,IL,9,3
137,IL,10,2
138,IL,11,3
139,IN,1,1
140,IN,3,2
141,IN,4,5
142,IN,6,2
143,IN,7,4
144,IN,8,3
145,IN,9,2
146,IN,11,1
147,KS,1,2
148,KS,2,1
149,KS,4,4
150,KS,6,1
151,KS,7,1
152,KS,8,2
153,KS,9,1
154,KS,11,1
155,KS,12,1
156,KY,1,21
157,KY,2,86
158,KY,3,220
159,KY,4,418
160,KY,5,8
161,KY,6,1
162,KY,7,2
163,KY,9,3
164,KY,10,18
165,KY,11,175
166,KY,12,51
167,LA,1,27
168,LA,2,46
169,LA,3,381
170,LA,4,42
171,LA,5,43
172,LA,6,37
173,LA,7,77
174,LA,8,145
175,LA,9,183
176,LA,10,21
177,LA,11,41
178,LA,12,32
179,MA,4,3
180,MA,9,1
181,MA,11,1
182,MD,1,5
183,MD,2,6
184,MD,3,19
185,MD,4,39
186,MD,5,8
187,MD,6,6
188,MD,7,2
189,MD,8,3
190,MD,9,11
191,MD,10,4
192,MD,11,22
193,MD,12,2
194,ME,1,2
195,ME,3,9
196,ME,4,196
