,STATE,month,counts
307,NJ,5,24
308,NJ,6,40
309,NJ,7,41
310,NJ,8,5
311,NJ,9,1
312,NJ,10,6
313,NJ,11,25
314,NJ,12,6
315,NM,1,38
316,NM,2,80
317,NM,3,223
318,NM,4,255
319,NM,5,254
320,NM,6,317
321,NM,7,566
322,NM,8,351
323,NM,9,68
324,NM,10,24
325,NM,11,17
326,NM,12,4
327,NV,1,1
328,NV,2,3
329,NV,3,12
330,NV,4,22
331,NV,5,26
332,NV,6,52
333,NV,7,181
334,NV,8,207
335,NV,9,157
336,NV,10,42
337,NV,11,10
338,NV,12,8
339,NY,1,30
340,NY,2,52
341,NY,3,354
342,NY,4,451
343,NY,5,371
344,NY,6,503
345,NY,7,791
346,NY,8,253
347,NY,9,154
348,NY,10,166
349,NY,11,422
350,NY,12,193
351,OH,2,25
352,OH,3,18
353,OH,4,12
354,OH,5,1
355,OH,8,1
356,OH,10,6
357,OH,11,16
358,OK,1,269
359,OK,2,126
360,OK,3,585
361,OK,4,317
362,OK,5,12
363,OK,6,131
364,OK,7,354
365,OK,8,370
366,OK,9,190
367,OK,10,121
368,OK,11,34
369,OK,12,33
370,OR,1,2
371,OR,2,8
372,OR,3,1
373,OR,4,10
374,OR,5,37
375,OR,6,78
376,OR,7,323
377,OR,8,923
378,OR,9,433
379,OR,10,109
380,OR,11,31
381,OR,12,13
382,PA,1,4
383,PA,2,8
384,PA,3,63
385,PA,4,21
386,PA,5,26
387,PA,6,8
388,PA,7,32
389,PA,8,6
390,PA,10,1
391,PA,11,25
392,PA,12,7
393,RI,3,16
394,RI,4,9
395,RI,5,2
396,RI,6,5
397,RI,8,1
398,RI,9,1
399,SC,1,249
400,SC,2,805
401,SC,3,566
402,SC,4,212
403,SC,5,134
404,SC,6,331
405,SC,7,271
406,SC,8,142
407,SC,9,149
408,SC,10,79
409,SC,11,121
410,SC,12,122
411,SD,1,3
412,SD,2,20
413,SD,3,41
414,SD,4,124
415,SD,5,78
416,SD,6,53
417,SD,7,176
418,SD,8,212
419,SD,9,168
420,SD,10,276
421,SD,11,192
422,SD,12,88
423,TN,1,38
424,TN,2,250
425,TN,3,179
426,TN,4,144
427,TN,5,18
428,TN,6,44
429,TN,7,30
430,TN,8,152
431,TN,9,53
432,TN,10,82
433,TN,11,176
434,TN,12,29
435,TX,1,1775
436,TX,2,1858
437,TX,3,1887
438,TX,4,2080
439,TX,5,1314
440,TX,6,2081
441,TX,7,1955
442,TX,8,2459
443,TX,9,2369
444,TX,10,865
445,TX,11,465
446,TX,12,345
447,UT,1,1
448,UT,2,4
449,UT,3,4
450,UT,4,23
451,UT,5,34
452,UT,6,152
453,UT,7,264
454,UT,8,433
455,UT,9,136
456,UT,10,28
457,UT,11,10
458,UT,12,6
459,VA,1,16
460,VA,2,404
461,VA,3,86
462,VA,4,130
463,VA,5,12
464,VA,6,34
465,VA,7,33
466,VA,8,34
467,VA,9,6
468,VA,10,11
469,VA,11,38
470,VA,12,9
471,WA,1,1
472,WA,2,2
473,WA,3,8
474,WA,4,27
475,WA,5,27
476,WA,6,67
477,WA,7,275
478,WA,8,317
479,WA,9,224
480,WA,10,47
481,WA,11,26
482,WA,12,7
483,WI,3,25
484,WI,4,179
485,WI,5,155
486,WI,6,82
487,WI,7,76
488,WI,8,32
489,WI,9,26
490,WI,10,111
491,WI,11,35
492,WI,12,14
493,WV,1,3
494,WV,2,131
495,WV,3,80
496,WV,4,96
497,WV,5,7
498,WV,6,5
499,WV,7,9
500,WV,8,15
501,WV,9,1
502,WV,10,12
503,WV,11,107
504,WV,12,23
505,WY,1,1
506,WY,2,4
507,WY,3,17
508,WY,4,22
509,WY,5,14
510,WY,6,33
511,WY,7,119
512,WY,8,317
513,WY,9,89
514,WY,10,10
515,WY,11,12
516,WY,12,2
