,STATE,month,counts
0,AK,2,1
1,AK,3,5
2,AK,4,35
3,AK,5,175
4,AK,6,61
5,AK,7,53
6,AK,8,41
7,AK,9,16
8,AK,10,3
9,AK,11,3
10,AL,1,400
11,AL,2,175
12,AL,3,478
13,AL,4,173
14,AL,5,76
15,AL,6,21
16,AL,7,65
17,AL,8,141
18,AL,9,125
19,AL,10,204
20,AL,11,321
21,AL,12,239
22,AR,1,308
23,AR,2,277
24,AR,3,250
25,AR,4,157
26,AR,5,66
27,AR,6,13
28,AR,7,25
29,AR,8,30
30,AR,9,45
31,AR,10,17
32,AR,11,92
33,AR,12,15
34,AZ,1,193
35,AZ,2,183
36,AZ,3,170
37,AZ,4,254
38,AZ,5,368
39,AZ,6,415
40,AZ,7,614
41,AZ,8,207
42,AZ,9,137
43,AZ,10,122
44,AZ,11,134
45,AZ,12,31
46,CA,1,516
47,CA,2,222
48,CA,3,217
49,CA,4,346
50,CA,5,803
51,CA,6,965
52,CA,7,1447
53,CA,8,840
54,CA,9,537
55,CA,10,345
56,CA,11,197
57,CA,12,59
58,CO,1,3
59,CO,2,6
60,CO,3,12
61,CO,4,18
62,CO,5,40
63,CO,6,86
64,CO,7,309
65,CO,8,76
66,CO,9,32
67,CO,10,10
68,CO,11,9
69,CO,12,2
70,DC,5,1
71,DE,4,2
72,DE,5,1
73,FL,1,177
74,FL,2,177
75,FL,3,233
76,FL,4,223
77,FL,5,305
78,FL,6,238
79,FL,7,188
80,FL,8,156
81,FL,9,54
82,FL,10,72
83,FL,11,145
84,FL,12,176
85,GA,1,519
86,GA,2,457
87,GA,3,801
88,GA,4,432
89,GA,5,167
90,GA,6,131
91,GA,7,234
92,GA,8,333
93,GA,9,66
94,GA,10,272
95,GA,11,418
96,GA,12,233
97,HI,1,1
98,HI,11,1
99,IA,1,21
100,IA,2,2
101,IA,3,136
102,IA,4,303
103,IA,5,44
104,IA,6,2
105,IA,7,3
106,IA,8,3
107,IA,9,1
108,IA,10,9
109,IA,11,16
110,IA,12,3
111,ID,1,1
112,ID,3,4
113,ID,4,11
114,ID,5,23
115,ID,6,99
116,ID,7,345
117,ID,8,615
118,ID,9,84
119,ID,10,25
120,ID,11,5
121,ID,12,3
122,IL,1,9
123,IL,2,11
124,IL,3,85
125,IL,4,87
126,IL,5,15
127,IL,6,9
128,IL,7,1
129,IL,8,1
130,IL,9,2
131,IL,10,2
132,IL,11,3
133,IL,12,2
134,IN,2,2
135,IN,3,21
136,IN,4,8
137,IN,5,3
138,IN,6,1
139,IN,7,1
140,KS,1,6
141,KS,2,3
142,KS,3,32
143,KS,4,11
144,KS,5,2
145,KS,7,2
146,KS,8,1
147,KS,10,1
148,KS,11,1
149,KY,1,24
150,KY,2,147
151,KY,3,545
152,KY,4,478
153,KY,5,35
154,KY,6,5
155,KY,7,11
156,KY,8,2
157,KY,9,1
158,KY,10,23
159,KY,11,157
160,KY,12,18
161,LA,1,226
162,LA,2,78
163,LA,3,182
164,LA,4,70
165,LA,5,65
166,LA,6,9
167,LA,7,39
168,LA,8,25
169,LA,9,37
170,LA,10,34
171,LA,11,79
172,LA,12,32
173,MA,4,3
174,MA,5,3
175,MD,1,4
176,MD,2,12
177,MD,3,28
178,MD,4,29
179,MD,5,9
180,MD,6,8
181,MD,7,5
182,MD,8,2
183,MD,9,4
184,MD,10,5
185,MD,11,13
186,MD,12,4
187,ME,1,1
188,ME,2,1
189,ME,3,2
190,ME,4,86
191,ME,5,109
192,ME,6,15
193,ME,7,27
194,ME,8,29
195,ME,9,35
196,ME,10,17
197,ME,11,10
198,ME,12,1
199,MI,4,80
200,MI,5,88
201,MI,6,50
202,MI,7,11
203,MI,8,20
204,MI,9,4
205,MI,10,9
206,MI,11,2
207,MN,4,412
208,MN,5,372
209,MN,6,23
210,MN,7,36
211,MN,8,20
212,MN,9,16
213,MN,10,106
214,MN,11,20
215,MN,12,1
216,MO,1,212
217,MO,2,185
218,MO,3,450
219,MO,4,235
220,MO,5,53
221,MO,6,6
222,MO,7,25
223,MO,8,30
224,MO,9,8
225,MO,10,6
226,MO,11,40
227,MO,12,1
228,MS,1,509
229,MS,2,210
230,MS,3,528
231,MS,4,151
232,MS,5,110
233,MS,6,14
234,MS,7,36
235,MS,8,59
236,MS,9,53
237,MS,10,134
238,MS,11,281
239,MS,12,139
240,MT,1,6
241,MT,2,1
242,MT,3,11
243,MT,4,102
244,MT,5,80
245,MT,6,107
246,MT,7,375
247,MT,8,373
248,MT,9,93
249,MT,10,43
250,MT,11,12
251,NC,1,529
252,NC,2,460
253,NC,3,1052
254,NC,4,862
255,NC,5,365
256,NC,6,237
257,NC,7,191
258,NC,8,79
259,NC,9,68
260,NC,10,159
261,NC,11,336
262,NC,12,249
263,ND,1,5
264,ND,2,2
265,ND,3,15
266,ND,4,108
267,ND,5,168
268,ND,6,29
269,ND,7,63
270,ND,8,30
271,ND,9,28
272,ND,10,40
273,ND,11,18
274,ND,12,4
275,NE,1,78
276,NE,2,34
277,NE,3,177
278,NE,4,137
279,NE,5,51
280,NE,6,27
281,NE,7,83
282,NE,8,54
283,NE,9,19
284,NE,10,25
285,NE,11,24
286,NE,12,14
287,NH,1,3
288,NH,4,62
289,NH,5,34
290,NH,6,4
291,NH,7,9
292,NH,8,4
293,NH,9,5
294,NH,10,4
295,NJ,1,10
296,NJ,2,4
297,NJ,3,119
298,NJ,4,293
299,NJ,5,90
300,NJ,6,39
301,NJ,7,40
302,NJ,8,47
303,NJ,9,17
304,NJ,10,26
305,NJ,11,100
306,NJ,12,14
307,NM,1,35
308,NM,2,63
309,NM,3,71
310,NM,4,92
311,NM,5,109
312,NM,6,161
313,NM,7,256
314,NM,8,52
315,NM,9,12
316,NM,10,13
317,NM,11,14
318,NM,12,15
319,NV,1,7
320,NV,2,5
321,NV,3,18
322,NV,4,21
323,NV,5,33
324,NV,6,60
325,NV,7,249
326,NV,8,89
327,NV,9,25
328,NV,10,21
329,NV,11,10
330,NV,12,4
331,NY,1,60
332,NY,2,27
333,NY,3,297
334,NY,4,1222
335,NY,5,610
336,NY,6,473
337,NY,7,363
338,NY,8,375
339,NY,9,303
340,NY,10,225
341,NY,11,337
342,NY,12,66
343,OH,2,20
344,OH,3,253
345,OH,4,257
346,OH,5,7
347,OH,6,4
348,OH,7,3
349,OH,8,1
350,OH,9,4
351,OH,10,10
352,OH,11,48
353,OH,12,5
354,OK,1,308
355,OK,2,224
356,OK,3,272
357,OK,4,106
358,OK,5,54
359,OK,6,7
360,OK,7,19
361,OK,8,28
362,OK,9,21
363,OK,10,24
364,OK,11,90
365,OK,12,19
366,OR,1,23
367,OR,2,5
368,OR,3,19
369,OR,4,42
370,OR,5,86
371,OR,6,199
372,OR,7,1244
373,OR,8,1007
374,OR,9,308
375,OR,10,96
376,OR,11,15
377,OR,12,3
378,PA,1,1
379,PA,2,3
380,PA,3,152
381,PA,4,448
382,PA,5,72
383,PA,6,7
384,PA,7,12
385,PA,8,12
386,PA,9,11
387,PA,10,46
388,PA,11,111
389,RI,3,10
390,RI,4,11
391,RI,5,6
392,RI,6,4
393,RI,7,1
394,RI,8,6
395,RI,9,3
396,RI,11,5
397,SC,1,259
398,SC,2,190
399,SC,3,364
400,SC,4,326
401,SC,5,161
402,SC,6,119
403,SC,7,121
404,SC,8,72
405,SC,9,30
406,SC,10,60
407,SC,11,99
408,SC,12,92
409,SD,1,19
410,SD,2,28
411,SD,3,82
412,SD,4,216
413,SD,5,97
414,SD,6,55
415,SD,7,181
416,SD,8,109
417,SD,9,69
418,SD,10,90
419,SD,11,44
420,SD,12,33
421,TN,1,155
422,TN,2,203
423,TN,3,438
424,TN,4,272
425,TN,5,46
426,TN,6,9
427,TN,7,14
428,TN,8,9
429,TN,9,20
430,TN,10,14
431,TN,11,73
432,TN,12,7
433,TX,1,1320
434,TX,2,782
435,TX,3,959
436,TX,4,663
437,TX,5,829
438,TX,6,407
439,TX,7,751
440,TX,8,892
441,TX,9,570
442,TX,10,567
443,TX,11,518
444,TX,12,280
445,UT,1,7
446,UT,2,4
447,UT,3,27
448,UT,4,56
449,UT,5,67
450,UT,6,171
451,UT,7,471
452,UT,8,147
453,UT,9,70
454,UT,10,25
455,UT,11,12
456,UT,12,1
457,VA,1,39
