,STATE,month,counts
0,AK,4,19
1,AK,5,92
2,AK,6,154
3,AK,7,53
4,AK,8,26
5,AK,9,41
6,AK,10,7
7,AK,11,10
8,AK,12,7
9,AL,1,169
10,AL,2,131
11,AL,3,335
12,AL,4,157
13,AL,5,109
14,AL,6,165
15,AL,7,180
16,AL,8,36
17,AL,9,41
18,AL,10,100
19,AL,11,213
20,AL,12,111
21,AR,1,95
22,AR,2,152
23,AR,3,336
24,AR,4,53
25,AR,5,158
26,AR,6,334
27,AR,7,507
28,AR,8,465
29,AR,9,75
30,AR,10,37
31,AR,11,75
32,AR,12,64
33,AZ,1,46
34,AZ,2,54
35,AZ,3,96
36,AZ,4,137
37,AZ,5,227
38,AZ,6,317
39,AZ,7,429
40,AZ,8,251
41,AZ,9,77
42,AZ,10,55
43,AZ,11,50
44,AZ,12,21
45,CA,1,407
46,CA,2,286
47,CA,3,287
48,CA,4,277
49,CA,5,771
50,CA,6,1063
51,CA,7,1280
52,CA,8,1305
53,CA,9,781
54,CA,10,482
55,CA,11,212
56,CA,12,57
57,CO,1,4
58,CO,2,2
59,CO,3,28
60,CO,4,65
61,CO,5,74
62,CO,6,202
63,CO,7,383
64,CO,8,188
65,CO,9,80
66,CO,10,67
67,CO,11,12
68,CO,12,1
69,CT,1,28
70,CT,2,49
71,CT,3,95
72,CT,4,226
73,CT,5,50
74,CT,6,60
75,CT,7,18
76,CT,8,23
77,CT,9,11
78,CT,10,11
79,CT,11,4
80,CT,12,1
81,DC,2,1
82,DC,4,4
83,DE,4,9
84,DE,6,3
85,DE,7,6
86,DE,10,1
87,FL,1,469
88,FL,2,305
89,FL,3,398
90,FL,4,463
91,FL,5,511
92,FL,6,142
93,FL,7,268
94,FL,8,117
95,FL,9,52
96,FL,10,87
97,FL,11,171
98,FL,12,124
99,GA,1,525
100,GA,2,532
101,GA,3,664
102,GA,4,565
103,GA,5,484
104,GA,6,318
105,GA,7,456
106,GA,8,85
107,GA,9,100
108,GA,10,400
109,GA,11,604
110,GA,12,216
111,HI,1,76
112,HI,2,50
113,HI,3,34
114,HI,4,41
115,HI,5,71
116,HI,6,109
