geoid,month,year,longitude,awnd,latitude,prcp,avg_temp,fire_size
01001,5,2013,-86.684284,7.745315725030645,32.436591,0.0,13.630660789254184,0.1
01003,5,2013,-87.65360237499999,7.770093812256891,30.78455725,0.0,12.0983782835745,10.318750000000001
01007,5,2013,-86.978022,7.753357578406621,33.150926,0.03,13.632396334619372,0.1
01013,5,2013,-86.62065222222222,5.230389859689555,31.790372222222224,0.0,14.739066276199683,5.144444444444445
01015,5,2013,-85.960506,7.732702263770277,33.84129,0.0,13.58093882219228,0.1
01017,5,2013,-85.189912,7.728362564591207,32.810625,0.0,13.573997641166253,5.0
01021,5,2013,-86.66731150000001,7.742154286878831,32.9316625,0.0,13.061215445491502,1.25
01025,5,2013,-87.775801,7.764297325237899,31.895785,0.0,8.0,4.0
01027,5,2013,-85.922282,7.735062152964176,33.112782,0.0,13.0,9.55
01029,5,2013,-85.41118850000001,7.725408211055793,33.821511,0.032395877856111144,14.5,15.0
01031,5,2013,-85.94174133333333,7.745822503563063,31.404829666666668,0.0,11.687110006784662,5.258333333333334
01035,5,2013,-86.98163266666666,6.515705780568209,31.45308266666667,0.0,16.890108698573822,2.0
01039,5,2013,-86.38698149999999,3.8049999999999997,31.140015,0.0,14.25,13.875
01041,5,2013,-86.3180405,7.748679901090677,31.797593,0.0,16.25,16.75
01047,5,2013,-87.225144,7.753861928659464,32.128287,0.0,13.655489130573857,0.1
01051,5,2013,-86.12539533333332,7.741601282580139,32.70804533333333,0.0,12.740270138659925,3.6999999999999997
01053,5,2013,-87.21450449999999,7.760189517665734,31.072320666666666,0.0,13.590000389277854,18.016666666666666
01055,5,2013,-85.767619,7.730343717963724,33.944767,0.0,13.572638495385403,20.0
01059,5,2013,-87.820554,7.744192756330133,34.521882,0.0,12.5,31.0
01061,5,2013,-85.89877475,7.747543625967127,31.12274075,0.0,11.779607679587158,20.375
01067,5,2013,-85.407677,7.737624166685996,31.670193,0.0,13.603916514886748,14.0
01069,5,2013,-85.205926,7.742247749750193,31.199497,0.0,13.609056495648574,4.5
01073,5,2013,-87.101467,7.744861339635683,33.386069,0.0,13.62637621920636,5.0
01087,5,2013,-85.7845795,7.736472985692921,32.468802749999995,0.0,15.125,12.0
01093,5,2013,-87.800797,7.74716270396088,34.201833,0.0,15.5,0.5
01099,5,2013,-87.34893357142857,7.759822100882623,31.582211,0.0,13.671332204721752,9.857142857142858
01101,5,2013,-86.159557,7.740856089053266,32.133386,0.0,13.618630324276149,0.5
01105,5,2013,-87.27825733333334,7.756563870681421,32.60294033333333,0.0,13.052306048618368,6.3999999999999995
01107,5,2013,-88.143246,7.758905021461031,33.326503,0.0,13.664146979121824,7.0
01111,5,2013,-85.54782,7.733174427313832,33.487538,0.0,13.575911789122216,0.1
01113,5,2013,-85.076658,2.01,32.14297,0.0,18.0,0.1
01121,5,2013,-86.333086,7.741183136384166,33.378546,0.0,13.603709894722057,1.0
01123,5,2013,-85.895795,7.736467908678976,32.907675,0.0,4.5,0.1
01125,5,2013,-87.45114411,7.750563514931402,33.053143500000004,0.0,13.644661762787834,33.885
01127,5,2013,-87.267699,7.742122122637813,33.768513999999996,0.0,11.063696157285559,1.5
01129,5,2013,-88.048427,7.767365799555138,31.224441,0.0,13.7004943888615,6.7
01131,5,2013,-87.563184,7.759391070421414,32.009674,0.0,13.669955777129683,7.0
01133,5,2013,-87.3959587225,7.74640656003453,34.127092055000006,0.024184045573074804,12.75,11.3
02068,5,2013,-149.10062449999998,8.215005030355488,63.8842635,0.0,15.5,120.25
02090,5,2013,-147.75013544,8.196047177769222,64.8488688,0.007295555118149276,16.56,0.396
02170,5,2013,-149.4942987142857,7.810318707284873,61.61268767857143,0.012298995759504704,15.494021349723416,2.1821428571428574
02240,5,2013,-144.006891,8.163377490864056,63.55979671428572,0.0017393828403756213,17.785714285714285,8302.92857142857
02290,5,2013,-156.18339036363636,6.193241785737882,63.06122290909091,0.015150109134116437,16.045454545454547,14614.70909090909
04001,5,2013,-109.41624373,8.863317082836064,34.76282928571429,0.014285714285714287,17.392857142857142,3.3464285714285715
04003,5,2013,-109.83976,7.952597574208265,31.948595,0.0,17.110464266939644,10.1975
04005,5,2013,-111.66116233875,7.909155793667826,35.2452945375,0.010105206550453605,13.985413169445463,1.6102083333333332
04007,5,2013,-110.7878244442857,7.999038431022277,33.80726333321429,0.01101199619573726,15.774052602994422,0.9310714285714285
04009,5,2013,-110.05225117066666,7.997214507485249,33.06828977066667,0.02064658122864648,14.170229978857765,175.94
04011,5,2013,-109.20388888999999,7.988247310093492,33.24859629333333,0.020682392821441967,11.833333333333334,26.133333333333336
04012,5,2013,-114.17916111,8.033193239262461,33.749788890000005,0.0,16.25,16.35
04013,5,2013,-111.713669388,8.010865229010667,33.668390277,0.0,15.245145919632966,1.4225
04015,5,2013,-113.75933384615384,8.01657660431813,36.056843846153846,0.004641360742096224,16.422986857536582,0.6653846153846155
04017,5,2013,-110.22573555533333,7.98763135467314,34.81413851866667,0.018379261784629886,18.133333333333333,2.3133333333333335
04019,5,2013,-111.48697720666667,8.021078581481108,31.93554956095238,0.011821288345272343,15.77486329829515,9.157142857142858
04021,5,2013,-111.57856318500001,8.015015238097002,32.933611935,0.0,15.762597842151903,0.1625
04023,5,2013,-110.87608571285715,8.117918719729605,31.53194285714286,0.0,16.199157526333202,1548.3714285714286
04025,5,2013,-112.18092941176471,8.01081820345172,34.64393790882353,0.007210988858087018,15.742341724512197,2.4435294117647057
04027,5,2013,-114.29825,8.046575162843315,32.686025,0.0,16.891824491152278,0.2
