geoid,longitude,latitude,population_density
01001,-86.64773050479042,32.51588732814371,69.5201807784431
01003,-87.71595619168112,30.777934990467937,122.02084973136915
01005,-85.42472320133334,31.85728250638095,15.493191285714285
01007,-87.12611981945456,33.01074416181818,22.440455386363638
01009,-86.66118076549708,33.93925783274854,53.72147590643275
01011,-85.71588558333333,32.061442535185186,21.535205
01013,-86.70783934469026,31.721391579203537,8.189489
01015,-85.79298322913908,33.82619023589404,50.01760456953642
01017,-85.3943618976,32.9072538264,55.86952464
01019,-85.56383024552325,34.173013158488374,57.25419886627907
01021,-86.65521357050228,32.831930632283104,29.633272876712326
01023,-88.2841789257485,31.99701698682635,5.5126002904191616
01025,-87.79273830338984,31.632333648305085,8.685845881355933
01027,-85.85048011406451,33.28490165380645,31.38565506451613
01029,-85.46400700339181,33.75187772111111,49.834324239766076
01031,-85.98880466666667,31.410902574666665,24.144248053333335
01033,-87.84877679222222,34.72591444666667,34.43472222222222
01035,-86.98125642302631,31.392698447368417,15.288686167763156
01037,-86.21408843804348,32.95504860217392,30.095341576086955
01039,-86.44665688940741,31.240027197259256,16.638713414814813
01041,-86.32124690782608,31.762800745217394,13.810099695652173
01043,-86.92484052642857,34.15100288285714,42.67235014285715
01045,-85.61409376896552,31.405253355172412,34.94284844827586
01047,-87.07715734245284,32.3427093009434,42.86495575471698
01049,-85.73156379872428,34.531257792757195,72.9440147942387
01051,-86.1131419885965,32.58875975614035,55.52999820175438
01053,-87.1618603105303,31.102338703030302,16.849121098484847
01055,-85.95406811616162,34.080396707070705,56.57200237373738
01057,-87.69556608607596,33.72491385949367,29.644364999999997
01059,-87.8481212559633,34.46090704587156,24.987826376146792
01061,-85.87450090595237,31.092681670238097,33.78220696428572
01063,-87.9296729347826,32.81827382608695,9.345783094202899
01065,-87.61252867070866,32.78951733165354,7.785844212598426
01067,-85.28476803888888,31.49379198703704,30.723286666666667
01069,-85.33057503448275,31.155447337931033,44.70812
01071,-85.95099139633028,34.79747053853211,62.336900091743125
01073,-86.92232310833333,33.56370721184211,41.58958756578947
01075,-88.12229913733333,33.817012442666666,22.775085999999998
01077,-87.77348836923078,34.90992555641026,38.77005615384615
01079,-87.27954913504672,34.53988567130841,31.36351070093458
01081,-85.32804765413535,32.57245526240602,55.25947823308271
01083,-86.97308884666667,34.795143497333335,36.41583786666667
01085,-86.64863535869564,32.124161145652174,99.03440206521738
01087,-85.71708969067633,32.373576317487924,27.962175724637685
01089,-86.5184799755102,34.81383687142857,32.478399795918364
01091,-87.80053860729927,32.22646908759124,13.376257675182481
01093,-87.90047642117116,34.16790403693694,15.844640157657658
01095,-86.29374057115385,34.34599632211538,56.501751346153846
01099,-87.39748130214285,31.496423932142857,11.367498914285713
01101,-86.21137236862745,32.21587381764706,105.11679700980392
01103,-86.86007487529412,34.47163727294118,46.439154058823526
01105,-87.32796818749999,32.6294162162069,8.988364396551725
01107,-88.12100514683544,33.29462426582278,20.304007721518985
01109,-85.99668615057472,31.850202847126436,11.455392034482758
01111,-85.468372115625,33.31400728125,31.378145
01113,-85.1676840574074,32.27521208950618,25.869598765432098
01115,-86.23447411104651,33.75384601511628,50.04401962209302
01117,-86.63492042893083,33.29369594213836,31.525065188679243
01119,-88.24626255945945,32.55936917027027,5.3953263378378375
01121,-86.16383089786163,33.39794968462264,35.44766191823899
01123,-85.80761590432098,32.886958835802474,55.040002932098766
01125,-87.4919828342654,33.26595549914692,34.25590926540284
01127,-87.26400766549865,33.826500459029646,30.106396590296498
01129,-88.1602193684039,31.299559803908796,9.049605299674267
01131,-87.35823612436975,31.991481726890758,10.580121655462186
01133,-87.36075777973451,34.16800709300885,14.799685
02060,-156.44022199999998,58.775103333333334,0.0179867
02068,-149.68476972727274,63.91253172727273,0.11244088708602272
02090,-147.48509908923884,64.83074577165354,14.350103263653281
02170,-149.35873424721603,61.69405214922049,0.11104219123875278
02185,-154.38533333333334,69.33311666666667,0.05688287125
02188,-159.30645363903224,67.01237478330644,0.11637353930424128
02230,-135.33515533333332,59.452844,2.657873
02240,-144.13905625958702,63.74396727433628,0.2527616002908377
02290,-152.58780171977367,64.97041310557613,0.08533687973958765
04001,-109.44024282838448,34.852701540177705,3.277950797253635
04003,-109.89791674720381,31.8277583285782,7.375548420537125
04005,-111.73106923731888,35.36607681891592,2.356432219537282
04007,-110.80177516233697,33.82369580346739,4.940902255978261
04009,-109.98780969475884,33.098278778102895,2.1375663504180062
04011,-109.23614149414142,33.39025041161616,1.045845196969697
04012,-114.22010263249999,33.817602913500004,7.559953376587499
04013,-112.09115404650198,33.51044473012268,313.0151789107593
04015,-113.78662431583449,35.881657244648274,3.3712570525103445
04017,-110.28757598678888,34.758915206433336,5.418525006111111
04019,-111.01955721652244,32.136190049863785,7.959899308431891
04021,-111.63921926623746,33.003728267742474,42.91477028993311
04023,-110.77676492544445,31.533216543944445,16.016424555555556
04025,-112.23552970745008,34.567110963072196,14.682947124884793
04027,-114.38953581573034,32.73285504112359,13.224369214264046
05001,-91.33478466666666,34.362859,3.483051916666667
05003,-91.86367259816001,33.17586699192,17.094197192
05005,-92.33258197771428,36.23185498271429,17.807824142857143
05007,-94.1682180249359,36.33609440884615,119.34576977564102
05009,-93.10107234042553,36.3216370212766,18.045682446808513
05011,-92.16286469255638,33.455154125338346,5.394345612781955
05013,-92.51625641610738,33.57026286577182,7.270439483221476
05015,-93.59308176271186,36.32151093220339,18.015705
05017,-91.2727167142857,33.257625714285716,17.73240092857143
05019,-93.17116781057268,34.069603343612336,24.256625204845818
