,FIRE_YEAR,month_,STATE,frequency
228,2022,1,MA,242
229,2022,2,MA,215
230,2022,3,MA,189
231,2022,4,MA,162
232,2022,5,MA,135
233,2022,6,MA,109
234,2022,7,MA,82
235,2022,8,MA,56
236,2022,9,MA,29
237,2022,10,MA,2
238,2022,11,MA,0
239,2022,12,MA,0
240,2022,1,MD,15
241,2022,2,MD,0
242,2022,3,MD,0
243,2022,4,MD,0
244,2022,5,MD,0
245,2022,6,MD,0
246,2022,7,MD,0
247,2022,8,MD,0
248,2022,9,MD,0
249,2022,10,MD,0
250,2022,11,MD,0
251,2022,12,MD,0
252,2022,1,ME,127
253,2022,2,ME,100
254,2022,3,ME,73
255,2022,4,ME,47
256,2022,5,ME,20
257,2022,6,ME,0
258,2022,7,ME,0
259,2022,8,ME,0
260,2022,9,ME,0
261,2022,10,ME,0
262,2022,11,ME,0
263,2022,12,ME,0
264,2022,1,MI,202
265,2022,2,MI,175
266,2022,3,MI,149
267,2022,4,MI,122
268,2022,5,MI,95
269,2022,6,MI,69
270,2022,7,MI,42
271,2022,8,MI,16
272,2022,9,MI,0
273,2022,10,MI,0
274,2022,11,MI,0
275,2022,12,MI,0
276,2022,1,MN,563
277,2022,2,MN,536
278,2022,3,MN,510
279,2022,4,MN,483
280,2022,5,MN,457
281,2022,6,MN,430
282,2022,7,MN,403
283,2022,8,MN,377
284,2022,9,MN,350
285,2022,10,MN,324
286,2022,11,MN,297
287,2022,12,MN,271
288,2022,1,MO,253
289,2022,2,MO,226
290,2022,3,MO,200
291,2022,4,MO,173
292,2022,5,MO,147
293,2022,6,MO,120
294,2022,7,MO,93
295,2022,8,MO,67
296,2022,9,MO,40
297,2022,10,MO,14
298,2022,11,MO,0
299,2022,12,MO,0
300,2022,1,MS,653
301,2022,2,MS,627
302,2022,3,MS,600
303,2022,4,MS,573
304,2022,5,MS,547
305,2022,6,MS,520
306,2022,7,MS,494
307,2022,8,MS,467
308,2022,9,MS,440
309,2022,10,MS,414
310,2022,11,MS,387
311,2022,12,MS,361
312,2022,1,MT,568
313,2022,2,MT,542
314,2022,3,MT,515
315,2022,4,MT,489
316,2022,5,MT,462
317,2022,6,MT,435
318,2022,7,MT,409
319,2022,8,MT,382
320,2022,9,MT,356
321,2022,10,MT,329
322,2022,11,MT,302
323,2022,12,MT,276
324,2022,1,NC,1503
325,2022,2,NC,1476
326,2022,3,NC,1450
327,2022,4,NC,1423
328,2022,5,NC,1396
329,2022,6,NC,1370
330,2022,7,NC,1343
331,2022,8,NC,1317
332,2022,9,NC,1290
333,2022,10,NC,1263
334,2022,11,NC,1237
335,2022,12,NC,1210
336,2022,1,ND,209
337,2022,2,ND,183
338,2022,3,ND,156
339,2022,4,ND,129
340,2022,5,ND,103
341,2022,6,ND,76
342,2022,7,ND,50
343,2022,8,ND,23
344,2022,9,ND,0
345,2022,10,ND,0
346,2022,11,ND,0
347,2022,12,ND,0
348,2022,1,NE,286
349,2022,2,NE,259
350,2022,3,NE,233
351,2022,4,NE,206
352,2022,5,NE,180
353,2022,6,NE,153
354,2022,7,NE,127
355,2022,8,NE,100
356,2022,9,NE,73
357,2022,10,NE,47
358,2022,11,NE,20
359,2022,12,NE,0
360,2022,1,NH,47
361,2022,2,NH,20
362,2022,3,NH,0
363,2022,4,NH,0
364,2022,5,NH,0
365,2022,6,NH,0
366,2022,7,NH,0
367,2022,8,NH,0
368,2022,9,NH,0
369,2022,10,NH,0
370,2022,11,NH,0
371,2022,12,NH,0
372,2022,1,NJ,279
373,2022,2,NJ,252
374,2022,3,NJ,225
375,2022,4,NJ,199
376,2022,5,NJ,172
377,2022,6,NJ,146
378,2022,7,NJ,119
379,2022,8,NJ,93
380,2022,9,NJ,66
381,2022,10,NJ,39
382,2022,11,NJ,13
383,2022,12,NJ,0
384,2022,1,NM,477
385,2022,2,NM,451
386,2022,3,NM,424
387,2022,4,NM,398
388,2022,5,NM,371
389,2022,6,NM,344
390,2022,7,NM,318
391,2022,8,NM,291
392,2022,9,NM,265
393,2022,10,NM,238
394,2022,11,NM,211
395,2022,12,NM,185
396,2022,1,NV,253
397,2022,2,NV,226
398,2022,3,NV,200
399,2022,4,NV,173
400,2022,5,NV,147
401,2022,6,NV,120
402,2022,7,NV,93
403,2022,8,NV,67
404,2022,9,NV,40
405,2022,10,NV,14
406,2022,11,NV,0
407,2022,12,NV,0
408,2022,1,NY,1593
409,2022,2,NY,1566
410,2022,3,NY,1539
411,2022,4,NY,1513
412,2022,5,NY,1486
413,2022,6,NY,1460
414,2022,7,NY,1433
415,2022,8,NY,1406
416,2022,9,NY,1380
417,2022,10,NY,1353
418,2022,11,NY,1327
419,2022,12,NY,1300
420,2022,1,OH,129
421,2022,2,OH,102
422,2022,3,OH,76
423,2022,4,OH,49
424,2022,5,OH,23
425,2022,6,OH,0
426,2022,7,OH,0
427,2022,8,OH,0
428,2022,9,OH,0
429,2022,10,OH,0
430,2022,11,OH,0
431,2022,12,OH,0
432,2022,1,OK,540
433,2022,2,OK,514
434,2022,3,OK,487
435,2022,4,OK,460
436,2022,5,OK,434
437,2022,6,OK,407
438,2022,7,OK,381
439,2022,8,OK,354
440,2022,9,OK,327
441,2022,10,OK,301
442,2022,11,OK,274
443,2022,12,OK,248
444,2022,1,OR,880
445,2022,2,OR,853
446,2022,3,OR,827
447,2022,4,OR,800
448,2022,5,OR,773
449,2022,6,OR,747
450,2022,7,OR,720
451,2022,8,OR,694
452,2022,9,OR,667
453,2022,10,OR,640
454,2022,11,OR,614
455,2022,12,OR,587
456,2022,1,PA,228
457,2022,2,PA,201
458,2022,3,PA,175
459,2022,4,PA,148
460,2022,5,PA,122
461,2022,6,PA,95
462,2022,7,PA,68
463,2022,8,PA,42
464,2022,9,PA,15
465,2022,10,PA,0
466,2022,11,PA,0
467,2022,12,PA,0
468,2022,1,RI,33
469,2022,2,RI,7
470,2022,3,RI,0
471,2022,4,RI,0
472,2022,5,RI,0
473,2022,6,RI,0
474,2022,7,RI,0
475,2022,8,RI,0
476,2022,9,RI,0
477,2022,10,RI,0
478,2022,11,RI,0
479,2022,12,RI,0
480,2022,1,SC,767
481,2022,2,SC,740
482,2022,3,SC,714
483,2022,4,SC,687
484,2022,5,SC,660
485,2022,6,SC,634
486,2022,7,SC,607
487,2022,8,SC,581
488,2022,9,SC,554
489,2022,10,SC,527
490,2022,11,SC,501
491,2022,12,SC,474
492,2022,1,SD,474
493,2022,2,SD,448
494,2022,3,SD,421
495,2022,4,SD,394
496,2022,5,SD,368
497,2022,6,SD,341
498,2022,7,SD,315
499,2022,8,SD,288
500,2022,9,SD,261
501,2022,10,SD,235
502,2022,11,SD,208
503,2022,12,SD,182
504,2022,1,TN,336
505,2022,2,TN,310
506,2022,3,TN,283
507,2022,4,TN,257
508,2022,5,TN,230
509,2022,6,TN,203
