FIRE_YEAR,month,frequency
2011,2,4
2011,3,2
2011,4,7
2011,7,5
2011,8,1
2011,9,3
2011,10,1
2011,11,2
2011,12,1
2012,2,1
2012,3,11
2012,4,4
2012,5,2
2012,6,12
2012,7,14
2012,8,5
2012,10,4
2012,11,4
2013,1,1
2013,3,2
2013,4,5
2013,6,2
2013,7,4
2013,8,3
2013,9,2
2013,11,1
2014,2,2
2014,3,21
2014,4,8
2014,5,3
2014,6,1
2014,7,1
2015,3,3
2015,4,7
2015,5,2
2015,6,2
2015,10,1
2015,11,1
