FIRE_YEAR,month,frequency
2012,4,9
2012,6,3
2012,7,6
2012,10,1
2013,3,2
2013,4,3
2013,6,1
2013,7,1
2013,9,1
2013,12,1
2014,4,2
2014,5,1
2015,4,6
2015,5,2
2015,6,2
2015,8,2
2015,9,4
